"name","total_bases","number","id","longitude","latitude","address"
"Agustín de Betancourt",24,"134",153,-3.6956047,40.4440297,"Calle María de Guzmán nº 58"
"Alberto Alcocer",24,"158",138,-3.684715,40.4585318,"Avenida de Alberto Alcocer nº 22"
"Alcalá",27,"97",102,-3.6801307,40.4226906,"Avenida de Menéndez Pelayo nº 3"
"Alcántara",24,"99",104,-3.6738714,40.4261851,"Calle Alcántara nº 2"
"Almadén",24,"67",71,-3.693225,40.4108472,"Calle Almadén nº 28"
"Alonso Martínez",24,"8",9,-3.6954403,40.4278682,"Plaza de Alonso Martínez nº 5"
"Altamirano",24,"117",125,-3.7188898,40.4309797,"Calle Altamirano nº 24"
"Antón Martín",21,"41",45,-3.6991147,40.4122047,"Calle Atocha nº 54"
"Antonio Maura",24,"65",69,-3.6904525,40.4165605,"Calle Antonio Maura nº 15"
"Arcipreste de Hita A",24,"111a",117,-3.7175435,40.4337322,"Calle Arcipreste de Hita nº 12"
"Arcipreste de Hita B",24,"111b",118,-3.7175115,40.4337036,"Calle Arcipreste de Hita nº 12"
"Atocha A",24,"80a",84,-3.6902255,40.4075685,"Paseo de la Infanta Isabel nº 3"
"Atocha B",27,"80b",85,-3.6901234,40.4074902,"Paseo de la Infanta Isabel nº 3"
"Augusto Figueroa",24,"58",62,-3.697895,40.4222862,"Calle Augusto Figueroa nº 33"
"Ayala",24,"87",92,-3.6832566,40.427736,"Calle Ayala nº 44"
"Banco de España A",30,"20a",21,-3.6954615,40.4192342,"Calle Alcalá nº 49"
"Barceló",21,"54",58,-3.700423,40.4266828,"Calle Barceló nº 7"
"Biblioteca Nacional",21,"94",99,-3.6909648,40.422699,"Paseo de Recoletos nº 32-34"
"Bravo Murillo 44",24,"131",156,-3.7039582,40.4412115,"Calle Bravo Murillo nº 44"
"Calle Mayor",27,"31",35,-3.7068969,40.4163638,"Calle Mayor nº 20"
"Carlos Cambronero",24,"17",18,-3.7038312,40.4232649,"Plaza de Carlos Cambronero nº 2"
"Carretas",24,"33",37,-3.7031808,40.4157138,"Calle Carretas nº 8"
"Casa Encendida",24,"49",53,-3.6992759,40.4060941,"Ronda de Atocha nº 34"
"Castellana",21,"104",109,-3.6895336,40.4268331,"Paseo de la Castellana nº 4"
"Castellana 106",24,"136",151,-3.690861,40.4453307,"Paseo de la Castellana nº 106"
"Castellana 164",24,"157",137,-3.6894151,40.4591366,"Paseo de la Castellana nº 164"
"Castellana 42",24,"142",167,-3.6879154,40.4334087,"Paseo de la Castellana nº 42"
"Castellana frente a Hermanos Pinzón",24,"150",147,-3.6905604,40.4488924,"Paseo de la Castellana nº 124"
"Castelló",27,"96",101,-3.6821793,40.422064,"Calle Alcalá nº 111"
"Cea Bermúdez",24,"128",160,-3.7154329,40.438994,"Calle Cea Bermúdez nº 59"
"Cibeles",21,"86",91,-3.6926217,40.4186148,"Paseo del Prado nº 1"
"Claudio Coello",24,"92",97,-3.6865463,40.4262945,"Calle Claudio Coello nº 45"
"Colegio Arquitectos",24,"6",7,-3.698447,40.424148,"Calle Hortaleza nº 63"
"Colombia",24,"160",172,-3.6763439,40.4572466,"Calle Colombia nº 7"
"Colón A",18,"106a",111,-3.6877227,40.4251002,"Calle Serrano nº 34"
"Colón B",18,"106b",112,-3.687745,40.424963,"Calle Serrano nº 34"
"Columela",24,"107",113,-3.6884369,40.4215246,"Calle Serrano nº 6"
"Conde de Casal",22,"77",81,-3.670422,40.40635,"Plaza del Conde de Casal nº 8"
"Conde de Romanones",24,"40",44,-3.7049407,40.4138846,"Plaza del Conde de Romanones nº 9"
"Conde Duque",24,"13",14,-3.7104417,40.4273264,"Calle Conde Duque nº 22"
"Conde Peñalver",24,"89",94,-3.6752024,40.4272582,"Calle Ayala nº 102"
"Cuesta de Moyano",24,"81",86,-3.691987,40.409297,"Plaza del Emperador Carlos V nº 11"
"Diego de León 52",24,"143",166,-3.678492,40.4345973,"Calle Diego de León nº 52"
"Doce de Octubre",24,"71",75,-3.6738865,40.4159569,"Calle Doce de Octubre nº 28"
"Doctor Arce 45",24,"147",148,-3.6797296,40.4483269,"Avenida del Doctor Arce nº 45"
"Embajada de Italia",24,"88",93,-3.6838303,40.4313576,"Calle Velázquez nº 75"
"Embajadores 1",24,"47",51,-3.7028265,40.4047851,"Glorieta de Embajadores nº 6"
"Embajadores 2",24,"48",52,-3.7022591,40.4056107,"Glorieta de Embajadores nº 2"
"Entrada Matadero",24,"165",135,-3.6971829,40.3919385,"Paseo de la Chopera nº 14"
"Espalter",21,"68",72,-3.6912023,40.4128372,"Calle Espalter nº 1"
